TotalDisplacement 22496804
MaxDisplacement 5040
NumCells 12028
c11454 -13200 31808
c11451 7260 -12040
c11450 9240 -20104
c11448 32604 -28168
c11447 -2442 32312
c11446 -3168 -24640
c11444 -21648 -24640
c11442 12012 6608
c11440 -32802 -4480
c11438 32736 -26656
c11437 16038 -30688
c11436 30228 -952
c11434 -26136 13664
c11431 10560 16688
c11423 -10098 24248
c11422 -8778 24248
c11420 6864 27272
c11419 15312 -14560
c11416 22242 21728
c11412 32868 -25648
c11411 22902 3080
c11410 8448 -30184
c11953 29106 -32704
c11405 -20658 1064
c11402 30954 3080
c11399 10296 31808
c11396 22968 56
c11395 -26532 -5488
c11394 19866 -13552
c11393 -22836 5096
c11390 22374 10640
c11389 31614 17696
c11388 23760 -19600
c11385 32010 32312
c11383 -462 1064
c11381 24486 29288
c11379 -660 8120
c11376 2904 -30688
c11375 -28842 -6496
c11370 -4686 -2968
c11367 8118 -20608
c11366 -25608 23744
c11362 11022 -6496
c11358 -14058 10136
c11357 -15378 -9016
c11356 20724 13160
c11355 15246 -9016
c11352 -29502 8120
c11351 14124 -19096
c11350 -8052 11648
c11348 27324 -33208
c11347 26268 -4984
c11344 -1254 29288
c11341 3300 6608
c11340 -25608 20720
c11338 -7722 18704
c11336 15774 -13048
c11330 20328 560
c11325 -7524 23744
c11324 32604 -11536
c11323 -25476 -31192
c11322 -22572 -15064
c11321 -14652 -2968
c11320 -30756 -6496
c11319 25278 -448
c11317 26928 28280
c11316 13332 20720
c11314 9834 13160
c11863 -22770 23240
c11312 28776 -11536
c11311 30690 25760
c11309 5478 -28672
c11306 -924 4088
c11305 -14982 -7504
c11303 9834 5600
c11302 19206 7616
c11300 17028 28280
c11298 -33330 19712
c11295 25674 -5992
c11294 14850 -9016
c11293 -14850 11144
c11291 30756 -24640
c11286 -29700 5600
c11285 -24090 -32200
c11282 -15774 13160
c11279 -26994 3080
c11271 -6996 -21112
c11269 -3564 27272
c11265 18942 25760
c11264 17292 -30184
c11262 -25080 -4480
c11261 -13860 -13048
c11260 -4554 -16072
c11257 2640 -11032
c11255 -858 7616
c11254 -1848 -7000
c11251 15840 -2968
c11250 -28050 26768
c11249 -17490 -2968
c11248 -16368 -31192
c11246 -13002 7112
c11245 14256 -17584
c11898 18744 9128
c11243 -8382 3080
c11242 30822 4088
c11241 19932 -1960
c11238 16896 -14560
c11234 24552 27776
c11232 -1782 -11536
c11231 -10890 -11032
c11229 13200 56
c11227 -6006 -20608
c11222 19470 9632
c11745 -5874 25256
c11221 16104 7112
c11220 27786 -22624
c11217 6204 -12544
c11215 18150 3584
c11406 11418 -13048
c11209 -32274 -23632
c11208 -17160 -18088
c11207 -12474 -20104
c11204 32208 -1960
c11203 -13992 -18088
c11202 -1056 5096
c11201 -31746 12152
c11197 13530 4592
c11196 9636 -9520
c11194 -12804 -4984
c11192 -31746 12656
c11190 -22176 -18088
c11189 -4026 7112
c11187 -26202 8120
c11180 13992 -29680
c11179 -21978 -29176
c11235 -66 -27160
c11178 10032 13664
c11177 -20526 11648
c11176 -24486 -1456
c11175 19140 -29680
c11173 18414 4592
c11172 4488 -9016
c11171 14982 -29176
c11169 21780 12656
c11167 -13464 -16072
c11435 -1650 -30184
c11166 -18348 -1960
c11165 -10164 -952
c11164 2970 15176
c11163 10296 12656
c11162 -29172 7616
c11161 -22506 -3472
c11159 23364 -28672
c11158 -22836 10640
c11157 16302 -14056
c11151 5214 -15568
c11144 -31350 -8008
c11143 1848 560
c11141 9570 -30688
c11140 -24684 -33208
c11138 30228 25256
c11822 -25476 -1960
c11137 -10890 1568
c11135 31812 -1960
c11132 -12474 26768
c11131 858 -15568
c11128 31680 -3976
c11121 -23760 -11536
c11119 6204 6104
c11118 18744 -23632
c11117 -2442 21224
c11111 -11880 12152
c11110 23232 7112
c11106 -8976 -14560
c11104 13332 -9520
c11102 7194 -16072
c11098 -6204 -15064
c11096 -7590 -6496
c11095 -11550 -3472
c11093 33132 12656
c11545 3498 -17080
c11092 -9702 -28672
c11090 -12804 18704
c11085 2706 -13048
c11084 23364 8120
c11082 15378 -11536
c11802 -7656 8624
c11080 2970 -10024
c11079 28248 8120
c11074 -13398 -21112
c11073 12276 560
c11070 -13332 17192
c11069 3696 -31192
c11066 -25872 11648
c11064 6732 -15064
c11061 15510 29288
c11057 18744 -18088
c11056 -3366 4592
c11055 -21648 31808
c11670 26004 -19600
c11054 -16434 10136
c11050 16236 -29680
c11049 25344 9128
c11046 4554 -24640
c11044 8910 5600
c11043 -5412 -952
c11041 9504 17192
c11039 3762 29288
c11038 -12210 -18592
c11037 2904 -21112
c11036 -32274 -4984
c11034 -24948 31304
c11150 -18810 -21616
c11029 17160 19712
c11022 -3828 -19096
c11017 -21846 20720
c11015 -21978 3080
c11012 8778 4592
c11011 -25212 56
c11009 18744 -16576
c11008 -3762 -4984
c11007 12738 28784
c11005 6138 29288
c11004 -19800 4088
c12024 -4950 -21112
c11003 8514 -18592
c11002 12606 17696
c10996 -660 18704
c11228 -17622 28784
c10994 -14124 -26656
c10992 17556 -1960
c10988 25674 -8008
c10987 -16830 12656
c10986 14718 21224
c10985 -32934 -19096
c10976 23628 -29680
c10974 10626 -8008
c10973 -8976 5600
c10972 26268 -26656
c10970 11418 21728
c10969 1980 13664
c10968 12870 -15568
c10963 11352 18704
c10962 -462 26768
c11112 -28578 22232
c10966 30492 6104
c10958 12672 7112
c10956 32472 30980
c10955 2772 -23632
c11266 -12012 10640
c10951 3630 21224
c10950 1056 -15064
c10948 23826 23240
c10945 -17622 9632
c10943 11352 -8512
c10940 22902 32816
c10938 -2310 10136
c10932 -14190 -29176
c10931 27852 -29680
c10930 -2442 -16072
c10925 -13530 3584
c10922 24948 24248
c10921 -19470 -8512
c10920 -22506 -16576
c10919 32604 -6496
c10917 26070 26768
c10916 3234 9128
c10915 12144 -30184
c10912 8514 32816
c10910 -28776 -10024
c10909 -18348 -10024
c10908 -2442 -6496
c10905 -19206 13160
c10904 -20526 1064
c10903 7392 30296
c10902 660 -22120
c10899 -6270 -4984
c10897 -396 -21112
c10896 -14190 10136
c10895 -8778 -25648
c10890 -31284 17192
c10889 -19470 -28672
c10887 -16896 20216
c10882 -25410 -25648
c11506 15906 -30688
c10881 16566 5600
c10880 26532 28280
c10877 20724 -16072
c10876 8052 16688
c10873 25344 14672
c10866 5676 -22120
c10864 12210 14168
c10863 17952 -18592
c10862 -28578 -31696
c10861 -18084 14168
c10860 25344 -16072
c10859 14520 13664
c10857 -6468 -26656
c10856 4620 -19600
c10853 20988 27272
c10852 198 12656
c11521 6732 -14560
c10850 -4752 -1960
c11980 31020 28280
c10849 -8250 -16072
c11641 12606 -6496
c10845 -23034 19208
c10844 -26994 11144
c10843 -29106 -8512
c10839 -3828 30296
c10837 11418 4088
c10836 31944 -448
c10835 -20064 -9520
c10831 -2310 9632
c10830 -15114 -25144
c10829 924 -7000
c10828 -12078 -6496
c10827 -15642 23240
c10824 26532 -8512
c10821 -13728 19208
c10820 -18150 7112
c10815 -15312 -15064
c10808 -18348 13664
c10802 20592 -26656
c10793 -1188 -15064
c10791 -22770 -32200
c10790 -2508 13664
c10789 9372 2576
c10787 8778 -28672
c10786 -9768 2072
c10785 16566 12152
c10784 22506 -22624
c10990 27918 4592
c10783 -14718 6104
c10781 20460 25256
c10780 22638 32312
c10779 -19536 -15064
c10777 20856 13160
c10776 -16170 9632
c10773 12474 4592
c10772 -25410 -8512
c10770 10098 11144
c10769 23496 -20104
c10765 32076 -11032
c10763 16434 -25144
c10762 24156 2072
c11567 6600 29792
c10761 -10560 -1960
c10758 -31746 19208
c10757 20064 20720
c10755 16962 13160
c11469 -3036 -7000
c10754 726 -25144
c10753 4158 -2968
c10752 13266 -17080
c10751 29832 13664
c10750 330 22736
c10749 21516 19208
c10748 12672 -23128
c10746 27852 -12040
c11577 -19602 -7504
c10744 -9834 18704
c10743 -26466 4088
c10742 -13266 -5992
c11529 28380 -952
c10740 6468 -4480
c10738 17094 26768
c10737 19272 -8512
c10735 -9108 20216
c10734 -12936 -952
c10730 23628 -2464
c10726 -10626 12152
c10723 -28578 32312
c10717 5412 -10528
c10716 11154 -6496
c10715 30228 -17584
c10712 19470 3584
c10709 30030 14168
c10708 6006 26768
c10707 29436 -10528
c10706 1320 -30688
c10703 -14850 -15568
c10697 -25938 -28168
c10695 -17358 -17080
c10694 -23166 11144
c10693 14784 -9520
c10691 25608 5096
c10689 16236 16184
c10684 10560 6104
c10679 0 -24136
c11669 -17886 21728
c10676 8844 -29680
c10675 15246 -3472
c10674 -19404 -18592
c10673 8316 15680
c10672 -21054 28784
c10671 -16368 -23632
c10670 -21252 -29680
c10668 -28446 -25648
c10666 -4092 2072
c10665 16368 -24136
c10664 -31614 -32704
c10663 12738 -28168
c10658 27918 4088
c10656 16632 -23128
c11633 8382 -30688
c10654 -17622 560
c10814 21912 27272
c10653 -8910 29288
c10652 -8712 6608
c10651 30954 14168
c10650 29304 -3472
c10648 -5412 -26656
c10644 396 8120
c10643 -29106 19208
c10642 6402 11144
c11334 -5478 9632
c10639 -13662 8624
c10636 4158 21728
c10635 19074 3584
c10634 13464 -22120
c10633 -18414 -8512
c10632 2508 8120
c10631 25278 4088
c10628 17424 -6496
c10625 33000 8120
c10623 18942 -5488
c10614 27060 -8512
c10612 2508 -14056
c10610 -10890 -25144
c10608 -10890 9632
c10607 -14586 8120
c10606 -18216 -18592
c10594 -2970 11144
c10593 -8976 -23632
c10592 -6666 -31696
c10591 24618 -5992
c10590 11880 23744
c10586 -12474 29288
c11006 20526 22232
c10585 -858 32816
c10584 18084 11648
c10583 20262 23240
c10582 1980 16688
c10580 32868 7112
c11865 -28578 -7000
c10578 27588 5096
c10576 -33330 25760
c10575 -21780 20216
c10572 792 -30184
c10565 15444 -24136
c10561 19668 10136
c10559 -8514 24248
c10558 -3894 32816
c10555 2112 28280
c10552 18678 -10024
c10551 -31746 14672
c10548 -17424 27272
c10547 12144 -14560
c11724 3234 3584
c10545 -198 -5488
c10543 -22440 -17584
c10541 22836 7112
c10540 31812 -2968
c10539 -9966 -2464
c10618 -2310 7112
c10538 5016 -12040
c10536 12672 -29680
c10534 5280 11648
c10532 27918 17696
c10530 30888 16688
c10529 -26466 3584
c10527 -31284 -10528
c10525 6666 32816
c10523 -24684 -29680
c10521 25740 1568
c10520 25608 -14560
c10519 4884 -31192
c10518 -6270 10640
c10516 -12210 -12040
c10515 -1716 -23632
c10514 -8976 560
c10513 20922 -7504
c10512 -26466 11648
c10511 -1518 -20608
c10509 2772 -26656
c10505 4950 12152
c10504 3960 -30184
c10503 20790 -26152
c10502 11220 -3472
c10501 -3498 27776
c10497 -11418 32816
c10495 -11484 -29680
c11585 13068 16688
c10493 28116 -19600
c10491 29436 19712
c11263 3828 10136
c10489 -16962 6104
c10699 -9834 -8008
c10487 -21648 -7504
c10702 -28182 10640
c10485 6072 -24136
c10484 -1056 13664
c10483 32538 17696
c10482 25872 -23632
c10481 -11880 5096
c10480 31020 1064
c10477 27588 31304
c10476 13200 7112
c10475 -22638 3584
c10473 5478 -30688
c10588 30162 -1456
c10472 27060 18704
c10468 26334 17696
c10465 -6732 -15064
c10462 -23100 -952
c10461 18216 -2968
c10460 -29568 -9520
c10458 7524 -29680
c10457 792 14672
c10455 21846 29288
c10454 66 22232
c10453 31680 -13048
c10452 2178 7112
c10448 26268 -16072
c10444 -6798 -28168
c10443 10230 -22624
c10442 -19536 -32200
c10440 -1386 23240
c10439 4818 14168
c10438 -26928 -16576
c10436 28050 -8008
c10434 31680 13664
c10432 5016 -31192
c10431 23958 -23128
c10430 5346 -10024
c10429 -2310 18200
c10428 -19008 -29680
c10424 7458 -33208
c10421 21516 -17584
c10420 -13662 -11032
c10419 4488 -9520
c10418 -12012 -7000
c10415 18216 -23632
c10411 -30294 1064
c10410 30888 -31696
c10404 2904 -9016
c10403 2508 30296
c10760 -23628 20216
c10401 25608 -19600
c10400 27060 -31192
c10399 -16302 15176
c10389 -18678 1064
c10388 29370 4592
c10959 3036 -4480
c10387 12606 -1456
c10384 3630 -32704
c10381 26796 27272
c10792 25212 -19600
c10377 -13926 23240
c10376 6996 6104
c10374 -23694 -2464
c10370 8514 26768
c10369 29436 -31696
c10367 -8778 -6496
c10366 28380 31808
c10363 -11418 -21616
c10361 21780 9128
c10359 19734 -5992
c10357 12936 -14560
c10354 30096 8120
c10353 12870 10640
c10352 -7590 -2968
c10351 18216 16184
c10348 -22374 1568
c10346 25872 -25648
c10344 -18084 18704
c10342 30756 13664
c10339 -2706 -11536
c11288 27060 -4984
c10330 -23562 -22624
c10329 15840 -12544
c10327 -9240 -12544
c10325 17226 -15064
c10322 1452 -10528
c10321 -2442 -21616
c10319 -9966 -8512
c10315 7920 6608
c10312 -20526 -1456
c10309 6468 -16576
c10306 21912 -7000
c10304 29040 29792
c10303 10758 7616
c10298 -2706 21728
c10297 24354 -32704
c10292 -8250 -6496
c10291 -6468 -29680
c10287 -23958 -4984
c10284 6402 -13048
c10283 -18348 2072
c10282 -23298 -2968
c10280 -20790 3080
c10279 13200 -21112
c10278 -4554 -31696
c10277 27456 56
c10272 -15114 -32200
c10270 -18414 8624
c10269 14454 14672
c10599 26136 -7000
c10268 -19602 12152
c10267 13992 -8512
c10266 16764 -4480
c10265 -7260 -11536
c10264 -18546 6104
c10263 17886 32312
c10262 -8448 27272
c10261 -8844 -27664
c10260 -25740 17192
c10259 -17622 12656
c10257 -21318 9632
c10256 -19206 -25648
c10255 -26796 -9016
c10253 -2574 12656
c10252 18876 19712
c10251 6930 -29176
c10250 1716 27272
c10248 -14124 18704
c10244 -6270 29288
c10243 5940 20216
c10240 23958 3584
c10239 16104 20216
c10238 26928 -12544
c10237 23826 17696
c10232 29832 -27664
c10231 -16104 6608
c10229 -24156 30800
c10228 19008 -1960
c10224 30162 -15064
c10219 -4752 -12544
c10217 -20394 3584
c11333 -9372 56
c10216 32010 26768
c10214 1518 24752
c10211 8316 -30184
c10209 -330 1064
c10206 -23826 22232
c10205 20394 12152
c10204 -22572 -10024
c10198 21318 17696
c10197 6666 21728
c10196 15114 21224
c10195 -2442 -23128
c10191 29964 23744
c10188 -24882 -31696
c10187 5742 -5992
c10186 -19536 19208
c10181 32472 20720
c10179 -22902 6104
c10178 -11220 6104
c10177 11022 -25144
c10175 -28050 -5992
c10174 32076 -27664
c10172 -28050 29288
c10171 10230 4592
c10168 8316 -9520
c10166 -3234 -1456
c10165 -13464 -29680
c10164 -9504 560
c10300 21384 560
c10163 -3828 1568
c10162 17094 -18592
c10161 -1914 -16072
c10160 -13200 20216
c10159 -11154 18200
c11115 -22242 32816
c10157 29238 -19096
c10156 0 -1960
c10154 23892 29792
c11621 28512 15176
c10153 -6600 -16576
c10151 -26598 -32200
c10149 -23826 21728
c10148 3696 2072
c10147 14520 2072
c10729 -29436 -31192
c10146 20328 1568
c10143 -19536 6608
c11486 -13992 24752
c10141 31284 -2968
c10768 9306 -22624
c10140 -8778 27776
c10139 5610 -13048
c10137 3960 -4984
c10135 27588 -24136
c10566 26994 6608
c10134 9900 -9520
c10759 -33132 6608
c10133 29304 -16072
c11671 -19932 -18088
c10131 18216 -21112
c10130 15972 15176
c10129 -28578 -26152
c10127 -25476 8120
c10125 20262 14168
c10124 -28710 -21616
c10118 -17556 14672
c10116 1650 29288
c10115 -3564 14672
c10112 27324 -31696
c10111 -22440 -4984
c10106 4950 14168
c10103 25608 16184
c10102 5544 -21112
c10100 25674 26768
c10097 -6798 10640
c10323 14916 -2464
c10096 19206 21224
c10093 18942 13160
c10092 -16896 28280
c10091 21516 -30184
c10090 -4422 -26152
c10089 -10032 -13552
c12021 26004 28280
c10087 -15312 5096
c10085 -12276 -3976
c10084 462 24248
c11152 -7458 -8008
c10083 -29502 -6496
c10082 6402 -14056
c10081 9240 23744
c10080 21252 -19096
c10079 18150 17696
c10077 -13332 560
c10071 21186 -14056
c10070 20526 -22624
c10067 18480 -8512
c10066 -13464 -15064
c10064 19272 -7000
c11531 3564 16688
c10063 -7656 4088
c10061 -20856 -19600
c10060 -10296 56
c10059 18480 -11032
c10058 -6666 21728
c10057 1782 23240
c10055 23628 15176
c10050 -16764 -448
c10049 20724 25256
c10048 30756 17192
c10046 14520 -11032
c10045 -8184 -448
c10043 14454 21224
c10041 -32274 11144
c10040 29172 -21112
c10035 22176 12656
c10034 -22572 -13048
c10032 13794 28784
c10030 5478 -8008
c10028 25278 -22624
c10027 -1914 -6496
c10026 26994 25760
c10023 28116 -31192
c10022 27984 -13048
c10021 22440 -24136
c10019 7656 18704
c10018 4092 -10528
c10017 27192 -31192
c10016 -12276 -32200
c11875 -17160 24248
c10015 -5940 30296
c10014 3366 -8512
c10013 -30558 14672
c10010 -7722 10136
c10009 27324 -1960
c10008 -18414 -2968
c10007 -6798 -33208
c10949 -16434 2576
c10006 23826 3080
c10005 16566 -31696
c11842 21384 17192
c10004 -25014 -31696
c10003 -8250 21728
c10722 30030 26264
c10000 -28248 -14560
c11252 -18216 19208
c9995 -4092 -16576
c9992 -12342 24248
c9991 20592 19208
c9988 28116 20720
c9987 30360 -11032
c9983 -14850 -11032
c9978 29436 -12544
c9974 198 4592
c9973 -9768 -12544
c9970 14586 12152
c9968 -10956 -5488
c9967 -17820 -10024
c9963 15774 26264
c9962 -5148 -16576
c11051 15774 8624
c9961 -26598 -952
c9960 5346 19712
c9958 -24024 -12544
c9957 -462 3584
c9955 18942 -11536
c9953 16632 19208
c9952 -18348 10640
c9951 5412 29792
c10893 -12078 -2968
c9950 28710 -20608
c9949 27456 -10528
c10531 -12936 -10528
c9947 21582 -17080
c11499 -5148 6608
c9945 18414 -1456
c9942 19998 -10024
c9940 -14256 -29680
c10602 -16302 -8512
c9939 -28578 3080
c9938 15114 -29176
c9937 7260 -27664
c9936 7854 23240
c11635 -25212 -14560
c9935 1848 22232
c9934 28380 13664
c9933 -11352 -15064
c9932 4554 -32704
c9931 -9702 9128
c9930 -8250 3584
c9926 3696 31808
c9925 -33330 -5992
c9923 -19668 -13552
c9921 31944 -21112
c10589 14784 -27664
c9919 7788 -7000
c9918 -7458 -1456
c9917 21120 -29680
c9915 -16632 18704
c9910 -5874 -7000
c11160 21648 22736
c10305 7458 -17080
c9907 22308 -9520
c9905 -8646 -4984
c9904 21582 26264
c9903 -8580 -17584
c9902 -4554 21224
c9900 -1980 4088
c9897 -21054 1568
c9895 23100 22736
c9894 -6732 -27664
c9893 -4950 18704
c9892 10626 7616
c9889 4554 -28168
c9887 12936 -952
c9885 990 7112
c9884 -22968 13664
c9883 -12342 -5992
c9882 23892 -2968
c11729 8448 56
c9877 132 -19096
c9876 3432 30296
c11815 1122 -32704
c9871 -25806 -19600
c9870 10032 19208
c9868 8316 -23632
c9866 -21582 -3472
c9865 -24816 -10024
c9864 31284 -19600
c9863 -17424 -15064
c10020 -198 7112
c9862 6864 25256
c9860 -2706 -16072
c9859 -23100 10640
c9857 -21120 -7504
c9856 -26136 -10024
c9854 -7062 12656
c9851 30426 -1456
c9849 -25344 25256
c11725 -9636 5096
c9845 20196 -19600
c9840 -18876 25256
c9839 18612 2576
c9836 -66 -16072
c9835 -5412 -22120
c9832 12870 -14056
c9831 6402 -17080
c9828 23826 -32200
c9826 4818 3584
c9823 -30030 -7000
c9822 -25410 -4984
c9820 6336 -11032
c9819 32670 -10024
c9817 13002 -25144
c9816 -28116 -13048
c9815 25146 -26152
c9814 19932 8120
c9813 -6138 11144
c9812 28908 5096
c9811 1188 7112
c10888 18084 -27664
c9810 17886 -20608
c9809 -31482 -25648
c9807 -23826 29288
c9805 -9702 7112
c9804 27324 -3472
c9802 27126 21728
c9801 -29040 -5488
c9799 -17424 -5488
c9797 -30888 -26656
c11297 20328 -11032
c9796 -19074 -9016
c9795 -21450 18200
c9790 -31746 15176
c9788 14982 -14056
c9786 29436 2072
c9781 10890 -10024
c9779 25476 15176
c9778 17556 11648
c9777 24090 4088
c9776 -858 19712
c9773 3762 -8008
c9770 11616 -19600
c9769 -21582 16688
c9765 13266 -10024
c9763 132 16184
c9761 -7854 -15568
c9760 22176 -4480
c9750 27258 -14056
c9748 17820 56
c9746 -11154 -11032
c9742 -660 -12040
c9741 15312 10136
c9735 3696 6608
c9734 11880 -30184
c9733 33000 -11536
c9732 -12078 7112
c9729 30822 -7000
c11428 -15048 19208
c9728 -11154 -5992
c11239 31416 23744
c9727 22770 -10024
c9725 -7194 12656
c9723 -22044 14672
c9720 396 5600
c9718 -7854 17696
c9715 6798 -16072
c9714 -7590 -7000
c9713 -16500 -22120
c9710 -13662 28784
c9709 -23694 -26152
c9707 26598 -952
c10507 27918 -8008
c9753 -4818 4592
c9706 -330 -17080
c9700 4224 -30184
c9699 26400 9128
c9697 4290 -33208
c9696 -22902 26768
c9693 396 13664
c9692 1518 25256
c9690 29304 19208
c9689 26004 7112
c9688 8976 2576
c9794 7920 20216
c9687 17094 24752
c9685 22044 16184
c9684 32076 -11536
c11326 -12078 -20104
c9683 3564 -12544
c9681 -8910 4592
c9680 32076 8624
c9679 22968 -16072
c9678 32076 -9016
c9677 31746 7616
c9676 25344 -26656
c10230 -20658 -16072
c9675 17094 18200
c9674 21846 -10024
c9673 21120 19208
c11503 9636 -1960
c9671 -29370 -4984
c9669 8316 12656
c9668 13266 25760
c9667 -5214 7112
c9665 -5676 -10528
c9664 11484 -3472
c10036 -13134 -25648
c9663 -9108 6608
c9661 -17292 -9520
c9659 -15444 560
c9658 29040 -31192
c9656 32340 28528
c9654 -990 -13552
c9652 13662 10640
c9651 19668 1568
c9650 -11880 25256
c9649 24222 -32200
c9647 -24552 5096
c9646 12078 -16072
c9645 -28710 56
c9644 7326 26264
c9643 -32406 26264
c9754 2310 -20104
