TotalDisplacement 37891230
MaxDisplacement 2905
NumCells 44811
c44189 27192 52696
c44188 51348 -728
c44187 -50490 -20384
c44183 -4092 17416
c44182 -48642 -54152
c44178 27984 -52136
c44176 50094 -1736
c44175 -1518 -48608
c44174 -35244 -10304
c44172 14454 -16352
c44170 43560 11368
c44167 -9900 8848
c44166 51546 -3248
c44165 42306 -55664
c44164 -35640 -12824
c44163 8580 -54656
c44159 -396 -3752
c44158 12276 -13832
c44157 -264 -44576
c44155 -31416 -9296
c44154 52470 -49112
c44150 36762 53704
c44149 -23892 23464
c44148 25938 50176
c44147 15708 -4760
c44146 -49632 -14336
c44144 4158 -31976
c44142 29898 -3248
c44138 -34584 -19376
c44137 -50490 27496
c44135 -32208 -37520
c44132 40590 -29456
c44131 -56958 -6272
c44130 -198 -18368
c44129 -12012 -6776
c44127 -39534 -35504
c44125 15708 -47600
c44123 -31086 -29456
c44121 38214 29008
c44120 -18612 38584
c44118 -49632 20440
c44114 -38676 -15344
c44113 -50160 56224
c44111 -34914 -24920
c44109 41448 -45080
c44107 -3168 -15344
c44105 -23364 -4760
c44103 35640 -52136
c44102 55176 55720
c44100 33990 39592
c44099 -22638 12376
c44097 56364 -38528
c44096 -18216 -11816
c44091 5874 -41552
c44090 -8646 36064
c44089 -12804 -17360
c44088 17094 3808
c44086 34716 -42560
c44085 48510 21448
c44082 19866 57232
c44079 -28314 19936
c44076 -44154 24472
c44073 50028 17416
c44072 -264 33544
c44071 -51150 -38528
c44067 37488 3304
c44066 -6798 -46088
c44061 -58674 56224
c44059 5082 5824
c44058 -12210 -46592
c44056 10230 26488
c44055 19206 57736
c44054 -7788 47152
c44053 -14916 -23408
c44052 23760 22960
c44048 4356 -3248
c44045 -13860 -38528
c44044 23232 -48608
c44043 25410 33040
c44042 -28710 -51128
c44040 -53988 -43568
c44038 6336 -5768
c44037 -1056 39088
c44035 43560 36064
c44034 -19074 -49616
c44033 -39534 21448
c44030 -32076 26992
c44027 32274 38584
c44024 -5280 -7280
c44023 132 -10304
c44021 -26004 -9296
c44019 15774 -41048
c44016 1980 -16352
c44010 -19668 -24920
c44009 8778 -17360
c44006 26862 -728
c44005 -462 37072
c44004 54912 -19376
c44002 41712 -224
c44001 43956 -9296
c43998 -16236 48664
c43996 46794 784
c44695 -32208 -13328
c43995 -45672 -44072
c43994 -12870 34552
c43992 52338 -50624
c43991 -34452 -27440
c43988 23826 26488
c43985 -49434 -51128
c43984 33264 -24416
c43983 33858 -14840
c43982 24222 -29960
c43979 54780 -12320
c43978 -33264 18424
c43976 23562 21448
c43973 46134 -22400
c43970 9042 24472
c43966 -11352 -13832
c43965 47454 54208
c43964 45804 -13328
c43963 -28842 -4760
c43962 39732 17416
c43961 27720 35056
c43959 26862 -25424
c43956 -24420 -12320
c44731 -52734 6832
c43954 40524 25480
c43953 14124 -26936
c43951 -42570 43120
c43949 -56892 -12824
c43948 -23364 -31472
c43946 13398 39592
c43945 4950 31024
c43944 17556 -27944
c43943 31812 29008
c43941 48510 39088
c43939 35046 -28448
c43937 24882 45136
c43934 -7920 -44072
c43933 -47520 20944
c43932 -16632 -1232
c43931 -32010 -23408
c43925 13134 -11312
c43924 -5082 31024
c43923 41382 -43568
c43921 -16368 -13832
c43920 -4884 -48104
c43919 28974 57232
c43918 24750 -29960
c43915 -2178 24472
c43910 23298 -33992
c43907 -56232 8848
c43905 13596 -3752
c43904 -39072 11872
c43903 -21252 8344
c43902 17556 -22904
c43899 -35904 26992
c43891 57552 -5768
c43890 -9570 51184
c43888 -47454 -5768
c43887 7986 -57680
c43886 40128 -1232
c43884 43296 28504
c43883 -46200 -46088
c43881 -9504 -37016
c43879 -6006 11368
c43877 13596 37576
c43876 -27984 -44072
c43875 1452 -36512
c43873 47454 20944
c43872 -18810 11872
c43869 -16896 -18872
c43868 9174 -16352
c43866 40524 -18872
c43861 50556 -27944
c43858 30228 22960
c43856 -14586 -25424
c43853 -7788 -37016
c43849 2772 44632
c43847 -54516 51688
c43844 30624 29008
c43842 18942 -52136
c43840 -48114 -51128
c43838 -38742 -1232
c43837 24816 -44072
c43835 -19206 -16856
c43831 36696 -11816
c43826 36696 14392
c43825 32736 22960
c43824 -12738 39592
c43821 9042 -31976
c43820 38610 18928
c43817 35970 42112
c44217 -44748 -36512
c43816 29832 12376
c43814 -5280 -6776
c43813 51084 -45080
c43812 -22374 3304
c44220 17688 -39032
c43811 -21120 -15848
c43810 29964 -18872
c43807 -18744 40600
c43804 34452 38080
c43802 16764 42112
c43800 -31812 -24416
c43799 330 -33488
c43792 -8976 -40040
c43787 16896 45640
c43786 -39270 -27944
c43785 -58674 34552
c43783 -10824 -24920
c43782 -198 11368
c43780 46134 -23408
c43777 10296 50680
c43776 -44748 10864
c43773 51150 25984
c43772 -28314 -32984
c43767 46662 -1736
c43764 23562 -9800
c43761 -16302 9352
c43760 57552 -26936
c43759 29766 16912
c43757 34452 -13832
c43754 5874 -32480
c43753 25542 19432
c43751 -12144 16408
c43748 -36102 -5768
c43747 -36366 -27944
c43746 12276 16408
c43745 20526 -5264
c43744 41250 44632
c43743 -13002 -43568
c43742 -17754 30520
c43741 -34914 23464
c43739 5148 21448
c43736 -36564 -17864
c43734 9504 -45584
c43732 -41778 -30464
c43730 -29172 3808
c43725 -5742 47656
c43724 8514 -30464
c43723 -47718 10360
c43722 31548 40600
c43719 -53460 20944
c43715 42240 -12320
c43713 -21384 36568
c43709 -30030 10864
c43701 50028 -16856
c43697 37356 34048
c43696 38808 -39032
c43693 2706 58240
c43692 53658 10360
c43691 6006 -4760
c43690 -16764 3808
c43689 -13662 -38024
c43688 -1320 48664
c43686 5082 -38024
c43682 7062 -16856
c43679 -4356 -31976
c43678 23892 3808
c43677 2310 -33992
c43676 -24552 36064
c43673 34848 -30968
c43669 -23562 22456
c43668 -1848 9856
c43667 -20328 -18368
c43663 -18414 3304
c43661 -30954 47656
c43659 20988 -22904
c43658 53658 33040
c43654 3696 -15344
c43653 46134 21448
c43652 -57288 26488
c43650 5478 -16856
c43649 -38412 17416
c43648 -1518 -13832
c43647 -33462 -56672
c43646 -26136 31024
c43644 -41580 -36008
c43640 14718 -43568
c43632 47916 -47096
c43631 21318 -19376
c43630 55176 -34496
c43629 -10032 -26432
c43628 -13002 -8288
c43627 -21912 -12824
c43619 -19932 16408
c43616 -34320 31024
c43615 -17358 -6776
c43613 20262 43624
c43612 24090 -37520
c43611 13596 -48608
c43610 45144 -1232
c43608 -15906 12880
c43606 12540 36568
c43602 -1320 -18872
c43601 24420 45640
c43596 -18282 -32480
c43595 9834 -16856
c43594 -31086 -33992
c43590 53130 -1232
c43585 -45870 30016
c43584 -7326 31528
c44776 34452 -22904
c43579 -53724 11368
c43578 -34584 -28952
c43577 11418 12376
c43574 -21582 -8288
c43573 28908 9856
c44687 17754 -47096
c43570 51942 -6776
c43568 20658 32536
c43564 13992 -36008
c43559 33462 31024
c43558 -7062 -17360
c43555 -54318 -13832
c43554 48906 14896
c43551 33396 -36008
c43543 55704 42616
c43541 -18282 37576
c43539 33594 24976
c43538 23298 20944
c43536 40326 22960
c43535 -30822 38080
c43534 13398 -4760
c43533 -40920 -46592
c43528 -49698 2296
c43526 28842 23968
c43525 42570 39592
c43523 -41712 40600
c43520 7260 4312
c43515 -5016 -18872
c43514 33594 -50120
c43513 -3960 50176
c43512 -25146 -8792
c43509 9108 -53648
c43508 1914 7336
c43505 36696 48160
c43504 -35112 23968
c43503 -22506 10864
c43502 -3036 50176
c43501 16170 -28952
c43500 30360 -39032
c43499 29040 -2744
c43497 -37422 19936
c43496 32802 -728
c43494 47058 -728
c43492 -56760 30520
c43491 5544 46144
c43490 25542 6328
c43489 -28974 56224
c43487 -19140 51688
c43486 11748 -36008
c43484 54252 -35504
c43480 -33198 33040
c43476 -13398 51688
c43467 -6600 39088
c43463 47916 -41048
c43462 8712 -28448
c43460 -6930 10864
c44734 43956 9856
c43458 -11220 -31472
c44304 43098 41608
c43454 10824 -26432
c43453 -40062 -28448
c43450 50028 9352
c43445 -8184 -8792
c43443 -38544 43120
c43435 51018 51184
c43434 15774 21448
c43431 43428 2296
c43429 54384 39592
c43426 6864 -224
c43425 19866 -32480
c44554 -25740 10360
c43424 -15642 32536
c43423 -20130 -728
c43422 -36960 45136
c43421 7656 -40544
c43420 -44220 -35000
c43419 30624 6832
c43418 10692 -50624
c43416 20658 280
c43414 -18612 28000
c43412 52272 -42056
c43410 -23958 18928
c43409 52932 5320
c43408 13068 -32984
c43407 32274 -38024
c43406 -2508 -32984
c43405 46134 27496
c43403 -5676 -26936
c43402 9504 -30968
c43401 -29106 34552
c43399 -44616 25984
c43397 -11616 30520
c43395 42174 -56672
c43394 14454 -9800
c43393 49104 -44072
c43392 -19206 2296
c43391 22572 10864
c43388 40986 280
c43384 -29898 -56672
c43383 66 47656
c43381 -20856 -32984
c43379 2508 22960
c43376 49236 -18368
c43373 6270 -6776
c43371 2508 -6776
c43366 50688 -25424
c43358 38412 -44072
c43357 -42174 -25424
c43355 43626 3808
c43352 54186 37072
c43351 -23100 4312
c43349 50028 -54152
c43348 31614 -21896
c43346 -49896 20440
c43345 32274 784
c44289 36102 16912
c43343 8580 -37016
c43341 -55374 -18368
c43340 -33528 43120
c43339 53328 -18872
c43337 41712 -9296
c43336 -42174 -22904
c43334 -41184 -33488
c43333 40590 -15848
c43332 -26928 31528
c43325 34188 28504
c43322 48180 5824
c43321 4686 -55664
c43320 50160 -17360
c44729 33594 46648
c43319 -43296 8344
c43317 37950 28504
c43316 -14982 -3248
c43315 15378 39088
c43313 -33066 -26432
c43310 43692 -224
c43309 28314 8344
c43308 4554 -1232
c43307 33858 37576
c43304 53658 -19376
c43301 9306 47152
c43299 18084 -19880
c43298 31416 6328
c43295 -24090 784
c43292 -12474 -9800
c43289 -1518 -13328
c43287 20790 38584
c43283 -54318 -34496
c43282 -21912 -35504
c43280 14454 -18872
c43279 40986 -12320
c43278 9570 4816
c43277 -30690 52696
c43276 58212 -30968
c43274 34848 -4256
c43273 -21516 -38528
c43265 3960 -39032
c43264 13596 -7784
c43263 -17886 6328
c43262 52008 34552
c43261 -8382 6328
c43258 42966 -43064
c43257 -19800 51688
c43254 48708 -47600
c43252 -27126 24472
c43249 -28380 -55664
c43246 -52602 -4256
c44724 8844 -1736
c43244 49434 16408
c43243 56628 51184
c43242 6468 20944
c43240 -6864 -11312
c43237 40722 31528
c43235 -16566 -12824
c43234 -39336 -16352
c43233 10032 -2240
c43231 54384 43120
c43229 4884 -28448
c43224 32604 44632
c43222 24486 -44576
c43221 -35574 15400
c43219 23298 25480
c43216 44418 -38528
c43214 -46728 53704
c43210 -5874 21448
c43205 -57420 22456
c43204 56628 56224
c43202 -792 -34496
c43201 -51546 48664
c43195 37884 -1232
c43192 -38676 10360
c43191 -33132 51688
c43189 -32472 -55160
c43185 -2838 -12824
c43183 48180 11872
c43179 26334 2800
c43178 55836 52192
c43177 -25476 -9296
c43174 -39468 -55160
c43172 -31350 -224
c43167 6468 -24416
c43165 48378 -4256
c43378 -48576 21448
c43161 21780 17416
c43160 -54120 19432
c43157 -32406 29512
c43156 -47454 13888
c43155 38874 -32480
c43154 34254 -21896
c43153 -41580 -46088
c43152 -14520 -1736
c43148 30426 20944
c43146 37950 6832
c43145 -23694 20944
c43144 -40062 -44576
c43142 4950 -40040
c43141 8712 -3752
c43135 -9372 -14840
c43134 24552 15400
c43133 29238 32536
c43132 -33066 -40544
c43131 -15642 -58184
c43128 56892 -30968
c43125 -24156 -55160
c43123 2244 24472
c43122 4686 -52640
c43121 660 -38528
c43120 -15774 -728
c43119 52008 18424
c43116 24948 45640
c43111 -2772 -21392
c43110 -10032 55720
c43109 -49896 1792
c43107 -31284 -45584
c43104 32406 25480
c43101 36234 32032
c43100 25212 -10808
c43098 -49566 -25424
c43097 -10560 -23408
c43095 -16236 -15848
c43089 47586 37576
c43088 -18150 47656
c43085 40062 44632
c43084 22572 -1736
c43083 26730 33040
c43082 54318 44128
c43080 45738 35560
c43077 -27390 2296
c43076 -44946 -42056
c43075 51810 26488
c43072 17160 -24416
c43070 38808 -24416
c43066 -32274 57232
c43064 -7920 -8792
c43063 -51150 -20888
c43060 11154 28504
c43059 -55506 -18872
c43058 29040 35560
c43050 3366 -4760
c43047 -37290 -1232
c43046 10296 11368
c43045 462 -43568
c43044 -47058 35056
c43043 20658 -44576
c43117 32802 46144
c43041 17556 10360
c43040 37950 12376
c43037 -58674 53200
c43032 9306 18424
c43031 -12012 -17864
c43027 -924 -10304
c43025 -1650 28504
c43023 31812 -18368
c43021 57090 5320
c43016 52140 28000
c43015 30624 16408
c43014 -36564 4816
c43012 -6732 -9296
c43007 21120 40096
c43003 -16368 -23408
c42995 54450 -28952
c42992 -8844 50680
c42991 9900 -45584
c42986 4884 -3752
c42984 -45936 17920
c42980 -4356 -11312
c42979 -43692 48160
c42978 40062 6832
c42976 12738 -23912
c42974 46464 9856
c42973 -32472 -17360
c42971 36630 28000
c42968 23496 -43064
c42967 52800 -224
c42965 462 -57680
c42964 33594 -25928
c42963 -56034 -39032
c42962 -26598 33040
c42960 18744 31528
c42959 19668 -22400
c42957 4554 18424
c42956 25278 23464
c42952 40524 2800
c42949 10560 45640
c42948 26532 -1232
c42946 46530 -11312
c42944 -35112 -7280
c42943 17556 50680
c42941 -40590 25480
c42940 -57486 21448
c42939 50622 -3752
c42938 42834 23464
c42937 24750 280
c42936 18942 46648
c42935 -11880 -11816
c42932 43890 1288
c42931 22374 37576
c42929 -55110 43120
c42927 41118 -54656
c42926 -37950 28000
c42923 -23232 19936
c42918 -52602 2296
c42917 3960 -45080
c42912 11814 -4760
c42909 -15114 -6776
c42908 -58674 1792
c42905 18414 41104
c42903 -7128 -21392
c42899 5478 -8288
c42898 -9966 -38024
c42897 22770 37576
c42896 44550 24976
c42895 -37092 -28952
c42894 -26532 5824
c42893 -7458 -38528
c42891 43230 41104
c42890 -10824 -27440
c42888 -6798 -5264
c42886 27918 25984
c42885 -44682 37576
c42879 21318 12376
c42877 21384 -42560
c42874 36828 -32984
c42868 -6006 -12824
c42866 54912 -12824
c42861 35310 6328
c42860 -42240 -2744
c42857 33462 46144
c42855 -57090 32536
c42854 -13728 -20888
c42853 198 -24416
c42852 -31020 10360
c42850 36960 38584
c42848 6402 50176
c42847 -26598 -26432
c42845 -43494 -15344
c42844 28842 -38024
c42842 -3366 -3752
c42841 -48114 -15344
c42840 53196 48160
c42839 57486 5824
c42838 16830 -20384
c43779 20790 53200
c42837 -13926 38080
c42836 -50094 -30464
c42835 -26928 -46088
c42833 14322 -38024
c42830 30492 -22904
c42829 28182 -21896
c42828 132 54208
c42826 -8778 -19376
c42825 19470 -728
c42823 48972 -55160
c42820 8712 -38528
c42819 66 4312
c42815 34188 -17864
c42812 17754 24976
c42811 -528 21448
c42809 -44220 51184
c42808 -10560 -27440
c43929 42108 36064
c42806 44220 29008
c42805 -24024 9352
c42803 -50754 784
c42801 -6930 3808
c42800 -18480 38584
c42793 21582 31024
c42791 37884 35560
c42790 52668 7336
c42789 -9042 -38024
c42785 40722 -23408
c42782 -16434 42616
c42779 -7722 33040
c42774 -46530 23464
c42773 -39930 -29456
c42768 -45606 -53648
c42767 53988 16912
c42766 -42504 -224
c42764 25146 46648
c42758 10428 52696
c42757 55308 20440
c42756 -42306 -36512
c42752 -2706 -11816
c42748 47520 20440
c42746 -39798 -22904
c42745 14520 10360
c42743 -41844 -38528
c42742 58476 21952
c42740 -55770 -21896
c42739 47652 6832
c42738 -34254 25984
c42737 1782 41608
c42735 18612 2296
c42734 15708 -39536
c42733 53592 6832
c42732 -53460 -12824
c42729 20724 -24920
c42728 42240 -3752
c42727 -1848 -15848
c42726 -37026 -14840
c42725 34452 -40544
c42724 21384 -24416
c42722 42174 4816
c42719 49962 -26936
c42716 -330 23464
c42710 -20394 -3752
c42708 -5676 13888
c42707 9438 34048
c42706 -924 -31472
c42705 27390 15904
c42702 35970 -38024
c42698 57684 3304
c42695 -2244 -728
c42694 -49764 9856
c42693 20724 -31472
c42688 -12078 -40040
c42687 44616 -31472
c42686 48378 41608
c42681 -56232 22456
c42680 -22704 -26936
c42679 -37686 8848
c42678 38478 -728
c42675 32604 -36512
c42673 9570 50176
c42672 10560 51688
c42671 -46464 8344
c42670 -23166 -21392
c42668 23628 17920
c42664 -43296 -20888
c42662 -48444 45640
c42659 47256 46144
c42657 36696 -42560
c42656 -12144 -19880
c42655 56034 22456
c42654 54384 -27440
c42652 4686 15904
c42650 -34584 1288
c42649 -50358 28000
c42647 -6336 -14336
c42643 -48510 -49616
c42642 11550 40600
c42641 -56430 31528
c42638 -1584 -21392
c42635 41646 25984
c42632 23694 -48104
c42630 34716 -40544
c42629 -45474 -7784
c42628 -14850 32032
c42627 25872 -16856
c42625 23628 -40544
c42623 -48840 21448
c42622 55110 -53648
c42621 29304 39592
c42620 -1584 8344
c42618 39336 -14840
c42617 49896 -14840
c42616 11484 -56672
c42614 -10626 16912
c42612 -20130 1792
c42611 58476 8848
c42608 -7788 -15848
c42607 14850 -33992
c42602 37950 280
c42601 34584 -8288
c42600 10824 -25928
c42599 -25938 37576
c42598 15840 -11312
c42594 -14454 -10304
c42592 396 -16352
c42590 27984 3304
c42589 -23562 55216
c42582 -34518 -47096
c42577 -26664 -11312
c42576 48774 -1736
c42574 -20922 -8288
c42573 -23892 -37016
c42572 -10692 -26936
c42570 50556 784
c42567 32670 -39536
c42565 29766 -41048
c42563 33594 -52640
c42561 41514 -25928
c44701 29568 45640
c42558 17226 -4256
c42557 34782 11872
c42555 -39468 -37520
c42554 54582 56728
c42552 47322 37576
c42551 29304 -9800
c42549 -21450 -18872
c42546 21714 20440
c42544 31218 13384
c42542 41646 49672
c42538 -6864 -15848
c42537 14982 -38024
c42536 13860 14896
c42530 16434 -6272
c42528 -23496 -20888
c42526 -14586 -39032
c42525 13860 26488
c42524 -44682 -33992
c42522 -30756 -57176
c42520 -39732 -18872
c42519 -44484 51688
c42515 -23694 -6272
c42514 20526 -7280
c42512 -40524 18424
c42508 36168 -22400
c42504 -14058 -42056
c42503 44286 15904
c42499 -6270 41104
c42496 -49302 43120
c42491 22770 7840
c42489 -14784 13888
c42487 31548 15400
c42485 31944 14896
c42484 43230 -39536
c43430 -47256 4312
c42480 36564 10864
c42479 56232 -28952
c42478 -4092 -45080
c42476 26070 4312
c42475 2112 -21392
c42474 28050 8848
c42473 40590 45136
c42472 -50226 -19376
c42471 -23232 11368
c42470 8448 -15848
c42469 27786 -6776
c42467 -16500 50176
c42466 -45738 42616
c42465 29898 -38024
c42464 42504 50176
c43389 27126 -3248
c42463 -35244 32032
c42462 56232 -11816
c42461 51084 -224
c42460 -31812 8344
c42459 53526 -24920
c42456 34056 8848
c42455 35442 -1736
c42452 -24420 17920
c42449 -33198 -728
c43042 42108 2296
c42443 -25872 17416
c42442 39600 -47096
c42439 -132 43120
c42438 -50820 -14336
c42436 -25806 -24920
c42433 30756 21952
c42432 -7128 -37520
c42431 -51942 23464
c43368 -3564 -1736
c42430 -45672 38584
c42428 -18018 51688
c42427 55836 -53144
c42426 39996 31024
c42418 33924 33544
c42417 45144 -47600
c42416 4884 1792
c42411 28446 -40040
c42406 -35508 -36008
c42405 15708 4312
c42910 55044 37576
c42401 33726 -8792
c42400 -53526 -4760
c42398 38544 8848
c42395 -3894 41104
c42393 -26532 50176
c42391 -11682 -50120
c42390 -27588 -33488
c42388 7194 23968
c42387 -45474 -48608
c42385 52338 31024
c42379 53064 7336
c42375 -44682 -7784
c42372 -55242 32032
c42369 17226 -5264
c42367 11352 51688
c42365 19668 56728
c42364 34650 26992
c42667 37620 15400
c42361 -29832 -36008
c42358 47388 -53648
c42357 52668 -9800
c42356 3960 46144
c42355 38544 57736
c42354 50952 23464
c42353 -53328 -36008
c42350 -17358 2296
c42346 27126 58240
c42344 12738 13384
c42340 40986 41608
c42334 132 -52136
c42712 29238 17416
c42332 -44616 -53144
c42331 -47520 4312
c42329 11748 -6272
c42327 -31020 -15344
c42325 -66 15904
c42324 -528 57232
c44000 54120 -39032
c42322 -29106 41104
c42321 8976 -5768
c42320 42174 18928
c42317 54846 280
c42314 -25146 32032
c43444 -9636 -1232
c42312 19470 -32480
c42311 -12738 3304
c44809 43164 10360
c42310 -22176 31024
c42308 26070 54208
c42307 39732 43624
c42305 23628 47656
c42303 24024 -19376
c42302 10956 -56672
c42301 27456 49672
c42300 15972 -38528
c42297 -24222 -41048
c42296 41448 -40040
c42294 15180 37072
c42293 38478 37576
c42288 21846 4312
c42287 55572 36568
c42286 -11022 -5264
c42283 17820 46144
c42281 42636 49168
c42280 -47916 40600
c42278 -56958 -22400
c42276 -43758 -18368
c42271 -50556 5824
c42268 -30426 12376
c42267 -35046 -50624
c42265 28248 31024
c42263 -22638 37072
c42262 5412 -19376
c42258 -47718 32032
c42257 28314 784
c43507 -19140 46144
c42256 -46134 11368
c43223 -16632 -19376
c42255 3828 26992
c42249 -20856 56224
c42247 -29898 16912
c42243 -55770 -45080
c42242 4092 -43064
c42241 -28578 9856
c42238 13992 42112
c42236 8052 -14840
c42234 19008 3304
c42225 50028 11872
c42223 53592 -40040
c42222 12342 21952
c42219 -30558 -11816
c42218 -20790 -16352
c42217 -20988 1288
