TotalDisplacement 59859341
MaxDisplacement 3564
NumCells 51382
c51052 44946 18704
c51051 12342 -51352
c51050 45936 45416
c51049 58344 -52864
c51045 10032 -57904
c51043 13068 -49840
c51042 -35046 -18088
c51038 54714 -29680
c51037 -29700 -448
c51036 -21912 -448
c51034 24486 -22624
c51032 -12804 42896
c51026 50028 -48832
c51025 -26400 45416
c51023 27720 -58912
c51021 60918 -36232
c51018 -33792 -61432
c51017 -57420 -21112
c51014 -57090 -34720
c51013 -44484 -27664
c51011 5016 -38752
c51009 -37224 16184
c51008 29370 18704
c51007 -13332 -5488
c51006 -16104 40880
c51002 55506 -50344
c51001 3762 61544
c50997 -17490 -35728
c50996 51282 6608
c50994 45078 40880
c50993 33990 -15064
c50984 -59400 9128
c50983 -12474 8624
c50976 -16764 -4480
c50961 39930 -50848
c50958 52734 -50848
c50957 -66 -52864
c50952 2706 11648
c50951 43758 -61936
c50950 52734 -58912
c50945 49632 48944
c50942 -36234 3080
c50940 -26400 30800
c50939 -35838 60536
c50938 43032 -55888
c50937 -462 -11536
c50932 51810 15176
c50931 -29568 25760
c50930 -43230 31304
c50924 29700 8120
c50923 61380 43400
c50920 -3036 16184
c50919 34716 8624
c50918 -38676 33824
c50917 -33000 -36736
c50915 -20394 6608
c50913 -17820 -37744
c50912 20856 -39760
c50909 28842 13664
c50906 -5544 13160
c50901 35838 11648
c50898 56298 -6496
c50896 46002 -12040
c50893 45276 -40264
c50892 -4488 -2464
c50890 22176 -24640
c50888 -9174 -34216
c50887 -16038 26264
c50886 -21054 -55888
c50885 -35442 -29176
c50884 23958 17192
c50883 -13398 46424
c50882 -19932 -35224
c50880 34848 14168
c50877 -39798 20720
c50873 45474 -42784
c50872 -24948 -43792
c50869 -18942 59024
c50867 16632 -5488
c50865 39204 18200
c50864 13068 -41776
c50862 20724 20720
c50861 52074 28280
c50859 -28116 39872
c50858 28710 26768
c50857 -15840 9128
c50856 -39402 -21112
c50851 -11550 -49336
c50845 39138 -952
c50844 51282 -10024
c50843 -39402 -17584
c50842 -22968 10136
c50836 -31878 560
c50832 45210 -41776
c50830 -5874 -53872
c50827 39468 -8008
c50825 -46992 29288
c50824 23430 -1456
c50823 31680 39368
c50821 -14256 -11536
c50819 -23166 -10528
c50818 -18810 42896
c50815 22440 -58912
c50814 45210 -35728
c50813 34914 -15064
c50812 -38214 -40768
c50809 -27456 27272
c50808 -2310 25256
c50804 33528 57512
c50803 2178 -52360
c50802 -6996 -47824
c50801 -10362 -15064
c50798 -49104 -45304
c50797 -33396 56
c50796 -40392 3584
c50792 51348 -53872
c50791 594 11144
c50788 12144 -45304
c50787 -5808 -2464
c50786 24618 54992
c50785 20988 48944
c50783 -25014 -21112
c50778 -14850 14168
c50772 -37356 2576
c50771 -50028 -32200
c50770 10164 23240
c50897 -40590 23744
c50769 -20790 -18088
c50768 -17358 -26656
c50767 59400 -42280
c50764 55704 28784
c50762 38016 -37240
c50761 52536 -952
c50760 -6732 38360
c50756 16830 37856
c50755 41250 31304
c50753 -16236 -38248
c50749 -19668 26264
c50747 46992 51968
c50746 -5346 26768
c50744 -32274 -58408
c50743 -18546 48440
c50740 5346 -5992
c50737 10560 -41272
c50736 -46266 17696
c50733 -29304 -29176
c50732 -12606 53984
c50730 -6534 -52864
c50726 -9504 42896
c50723 -22242 -12544
c50722 -59598 -30184
c50712 8844 -42784
c50711 -4950 -4480
c50707 4422 -22120
c50704 -62172 36848
c50702 4950 36848
c50701 -50160 -40264
c50700 30624 47936
c50697 -38874 22736
c50696 33858 -28168
c50694 -10230 40376
c50692 1254 11648
c50691 -5874 35840
c50689 49368 -28168
c50687 51678 -33208
c50686 -28182 -13552
c50685 1848 -59920
c50684 49698 55496
c50680 50622 -40264
c50669 52602 2072
c50665 -27588 43904
c50663 6864 17696
c50661 38544 -48832
c50659 -8580 2072
c50658 -22110 53984
c50654 46464 -9016
c50653 35706 -20608
c50652 61314 10136
c50651 28512 -24640
c50649 61446 -5488
c50648 -726 25256
c50646 -24354 -50344
c50641 -25278 -54376
c50640 26730 -5992
c50637 3630 25256
c50635 17358 7616
c50632 -24420 10640
c50631 -4356 56000
c50629 30888 30800
c50626 55242 -14560
c50625 -43362 37352
c50623 -46134 27776
c50622 -33792 20216
c50621 -21120 9128
c50620 -52866 -22624
c50619 4950 -30688
c50617 53394 -36232
c50616 26532 3584
c50615 44814 -17080
c50614 60126 -27160
c50613 11286 23744
c50611 -36036 22736
c50610 -53922 24248
c50609 22572 25760
c50608 12144 35840
c50607 18414 48440
c50599 -57288 56
c50597 16632 -30184
c50595 3036 52976
c50594 -30756 -17080
c50593 -58146 -15064
c50590 8580 18200
c50588 12672 -25144
c50583 -15642 28784
c50580 39666 -54376
c50578 -58608 39368
c50576 -40458 9632
c50575 9702 -23632
c50574 23628 10136
c50571 40788 -19096
c50570 21450 18200
c50569 42636 36848
c50834 -27786 40376
c50567 40392 -59920
c50563 9306 15176
c50562 -34980 -9016
c50561 -62172 22232
c50558 -2178 36344
c50556 -25476 -55384
c50555 -8316 27776
c50554 -62172 44408
c50551 55308 40880
c50550 -20592 -44800
c50549 -3102 -45808
c50548 -61248 56
c50543 5940 -47824
c50541 20658 54992
c50540 44946 -12040
c50539 -28380 -12040
c50536 -47916 45416
c50535 13266 -42784
c50534 29436 7616
c50533 14058 28280
c50531 55506 -25144
c50529 -25080 27272
c50528 1848 24752
c50525 4488 4592
c50524 28380 -25648
c50521 -35772 -57400
c50518 -37686 5600
c50517 -25212 -47824
c50514 726 4592
c50512 -36894 -20104
c50511 10956 -2464
c50509 39996 -40264
c50507 15576 26768
c50506 -16764 35336
c50505 35112 -59920
c50504 38940 24752
c50503 11088 21224
c50501 1650 -22624
c50500 28116 -41776
c50496 34056 29288
c50494 1650 -11536
c50493 -29436 61040
c50492 -792 -6496
c50491 26268 -34720
c50490 -9570 27272
c50488 -51744 -30688
c50486 -22176 32312
c50485 24684 57008
c50483 -51216 22736
c50481 30888 -45304
c50480 -4422 -4480
c50479 -30096 24248
c50477 -39006 4592
c50476 1122 18200
c50474 16500 28784
c50469 51348 3080
c50468 20922 53480
c50467 40326 53984
c50464 40656 -52360
c50460 44088 -55888
c50458 7260 3080
c50457 -32868 -31192
c50456 -39138 -32704
c50455 20658 40376
c50454 38940 -41272
c50453 -36762 -56392
c50448 -3564 17192
c50447 -18018 36344
c50446 12408 -34720
c50445 -25674 -44296
c50444 -38412 18200
c50443 13332 -43288
c50442 15642 -45808
c50441 26532 11144
c50440 -22308 9128
c50437 -51018 32816
c50436 1122 53984
c50433 -15048 -14560
c50432 -42900 -8008
c50429 -26466 -54376
c50428 -30162 -17584
c50427 26664 -33712
c50425 6006 38864
c50424 32208 34832
c50423 -12078 -952
c50421 16368 10136
c50419 -7788 -26152
c50418 14190 53984
c50414 5412 -33712
c50412 30492 27776
c51247 53658 -24640
c50409 528 10136
c50406 19866 60536
c50401 56760 -54880
c50400 25476 60032
c50398 43890 -51352
c50397 -49170 27272
c50396 55374 -51352
c50393 -28710 35336
c50392 -17886 -7504
c50391 22176 -50344
c50390 -59070 37856
c50388 17160 17192
c50385 -59664 4592
c50384 -47454 44408
c50382 -4752 61544
c50381 -57156 -53872
c50380 -16500 -3472
c50379 -15774 26264
c50378 43098 -52360
c50376 -6534 -41272
c50375 -47784 -448
c50373 -56694 -38248
c50367 -24156 19208
c50366 18678 -20608
c50365 -21318 31808
c50364 6072 10136
c50362 18876 -37240
c50360 -41316 11648
c50355 -10626 -17584
c50354 29568 -24136
c50353 -30492 5600
c50350 56694 27272
c50348 -4554 -35224
c50346 -6468 46928
c50345 -60588 -19600
c50344 59598 29288
c50343 -25740 12656
c50339 21384 25256
c50337 37290 33320
c50336 43692 11648
c50335 -2178 -8512
c50739 61644 -30688
c50334 -54120 19712
c50332 -51150 43400
c50331 4356 -3976
c50328 -18084 37352
c50325 -43692 -45808
c50323 -11220 39368
c50321 11022 21728
c50318 -54054 -20104
c50316 -39072 26768
c50311 -62172 -57904
c50310 -20988 -41776
c50317 23430 27776
c50309 -43560 51464
c50303 5082 -53872
c50302 3234 48944
c50301 16830 41888
c50299 39402 -44296
c51215 -11220 -50344
c50298 23364 -24136
c50294 20526 -2968
c50293 -41250 14168
c50292 17094 -53368
c50291 -49896 -3472
c50902 58212 43400
c50290 -2046 25256
c50289 23430 -60424
c50287 33924 -30184
c50286 -47322 -37744
c50280 -57288 60032
c50278 -13530 56
c50277 -13266 44912
c50276 6666 33320
c50272 8580 2576
c50270 -57948 18200
c50267 25410 -25144
c50266 15246 -44296
c50265 -46794 14672
c50264 -60720 42896
c50263 23496 20720
c50262 -4488 19208
c50261 41844 16184
c50260 54120 51464
c50259 -2046 53984
c50258 44286 -14560
c50256 -44946 -10024
c50250 -27192 20720
c50247 -47916 41888
c50244 51612 32816
c50240 -29766 -3976
c50239 -1122 53480
c50238 60324 34832
c50237 -33330 -60424
c50233 -20064 -42784
c50227 10758 -8008
c50223 36300 2072
c50222 -8184 -54376
c50220 4884 17192
c50212 53064 23744
c50211 -22308 17192
c50210 50622 39872
c50208 -3234 28280
c50200 264 -19096
c50199 31086 -34720
c50196 16566 -60424
c50195 26928 2576
c50194 53790 -37240
c50192 -35178 15680
c50191 -39402 37856
c50190 1716 10640
c50187 -47850 -15568
c50183 24354 33824
c50180 -30096 -37240
c50179 -44814 -10024
c50178 32142 -4480
c50176 10560 56
c50172 -30294 17696
c50171 -40656 -50848
c50170 -61446 -10024
c50168 -50754 13160
c50166 -16302 -23128
c50158 -2574 31808
c50156 6138 28784
c50155 37818 20216
c50153 -46926 49952
c50148 14124 -56392
c50145 4950 31808
c50144 -36696 57512
c50141 58542 38360
c50139 -45474 -17584
c50138 -32406 -6496
c50135 4422 11144
c50134 33990 -2464
c50133 -58476 -37744
c50132 -39402 9128
c50131 44418 -22120
c50125 37488 -24136
c50123 60126 -36232
c50122 -23694 -58912
c50120 -57420 -40264
c50119 41712 -16072
c50118 -1650 27272
c50113 50292 -14056
c50109 -15708 39872
c50108 51018 -36232
c50107 40260 -448
c50106 9966 -55384
c50105 -26202 -2968
c50104 52140 14168
c50103 8052 21224
c50102 48114 18704
c50101 -42306 -18592
c50096 -51744 32312
c50246 58014 20216
c50094 60126 20216
c50092 -61248 37352
c50088 42174 -35728
c50087 -52602 -952
c50438 -21186 31304
c50086 -34716 19208
c50078 49896 47432
c50076 6798 20720
c50073 -10230 5096
c50072 -2112 50456
c50071 8712 -28168
c50070 36960 -30184
c50068 -5082 9632
c50065 -28116 20216
c50059 8184 -952
c50056 28908 7616
c50055 24024 3584
c50054 34716 -47320
c50049 40128 52976
c50048 51546 46928
c50047 13926 -51856
c50046 -4554 -45304
c50045 -20856 17192
c50043 58674 -1960
c50039 -20328 -54880
c50037 -17556 12656
c50031 44220 -47824
c50030 6798 560
c50029 48246 -27160
c50024 22506 -57400
c50023 -62172 17696
c50022 23760 -12544
c50021 40524 23744
c50018 58806 1568
c50013 29634 -50848
c50010 -46992 38864
c50009 -35508 7112
c50008 56826 -43288
c50007 2178 22736
c50005 -36498 -40264
c50000 31350 31304
c49997 -2442 -47824
c49993 43692 39872
c49992 10098 -1456
c49991 13266 46424
c49990 29040 2576
c49989 -19668 56
c49988 -3960 24248
c49985 -32406 53984
c49984 55572 53480
c49982 -57222 -37240
c49981 27126 12656
c49979 12672 -31192
c49977 -27522 -18088
c49976 -26202 31808
c49973 41910 -27160
c49972 -51612 22736
c49971 36828 -16072
c49969 -52272 -47320
c49960 -5280 -6496
c49958 -6600 16184
c49957 37620 32312
c49956 35970 -27664
c49950 2046 2072
c49948 -6930 22736
c49947 29172 8120
c49946 -53262 3584
c49945 23694 19712
c49943 -53592 18704
c51363 -3564 -9520
c49942 39732 40880
c49936 -28446 -57400
c49933 39336 -51856
c49931 -10362 -40768
c49930 12738 30800
c49929 -6270 13664
c49924 -11220 -448
c49922 -23628 4088
c49917 58872 -23128
c49916 61446 8120
c49914 24156 -46312
c49912 14190 -17584
c49909 -12474 5096
c49906 45012 -4984
c49903 -43626 58520
c49902 29832 38864
c49901 -14190 51968
c49897 -30558 7616
c49893 -11946 -4480
c49891 29766 41888
c49888 -198 -20104
c50642 14190 33320
c49887 32076 -40264
c49884 -1320 16184
c49883 22044 24248
c49882 -57420 -56392
c49881 660 29288
c49880 -18810 22736
c49877 -36762 9632
c49874 19338 -13048
c49872 -19008 43400
c49869 9306 -10528
c49868 17028 50456
c49865 56628 16184
c49860 59070 -12544
c49857 -25410 -29680
c49851 -19800 56000
c49849 -5478 -12544
c49844 22902 22232
c49843 -19338 -43288
c49841 25674 -29680
c49840 -62172 54992
c49835 -36036 -2968
c49830 52008 -44296
c49829 -45012 15176
c49827 23232 34328
c49823 15774 -49336
c49821 -39930 -27160
c49820 -18216 -44800
c49810 27522 38864
c49808 6600 32312
c49804 54714 -14560
c49803 28248 1064
c49802 -34914 54992
c49800 -17490 -42280
c49798 49632 -30184
c49797 -27588 -29176
c49795 -16302 -21616
c49794 34188 21224
c49792 11946 9632
c49790 -29106 -22624
c49789 -51150 -39256
c49783 -13662 28784
c49779 10692 10136
c49778 59202 7616
c49774 19734 46424
c49772 -12474 -46816
c49770 15840 -39760
c50690 -132 -2968
c49768 9570 11648
c49767 14124 -8512
c49765 59466 9632
c49762 -34980 -51856
c49761 55902 37856
c49760 -13662 34832
c49759 9174 -54376
c49757 5874 31808
c49756 40128 36848
c49754 10362 6104
c49753 -34914 35336
c49752 50160 -43288
c49747 -56034 49952
c49744 5610 5096
c49742 2838 26768
c49741 41448 -24136
c49740 44550 49448
c49739 52800 23240
c49738 55176 -32704
c49736 59400 50960
c49735 3828 12656
c49734 5082 -9520
c49732 47586 -2464
c49731 -24090 28280
c49729 -10494 -27664
c49728 -51612 -51856
c49727 50688 6104
c49718 49896 -36736
c49711 57618 -27664
c49710 36960 -9016
c49707 56430 -22120
c49703 -5214 16688
c49702 11088 -13048
c49701 -10824 34328
c49699 32472 5096
c49697 20526 -42784
c49696 -16368 -56896
c49695 16434 -27160
c49694 9900 41888
c49693 40722 -27160
c49690 26004 -4984
c49689 -29370 -32200
c49688 24090 27776
c49685 -3168 27776
c49680 46464 27272
c49677 22308 10136
c49676 -46728 59528
c49675 45210 -17584
c49670 -33594 -11536
c50703 -29832 -56392
c49669 23232 9632
c49668 -44154 17192
c49663 -46860 21728
c49661 50424 18200
c49659 -50886 24752
c49656 -10098 -53872
c49655 -12342 -22120
c49654 41052 44912
c49650 -8448 51968
c49649 -528 19712
c49647 -28380 43904
c49641 22110 18704
c49639 38280 52976
c49635 46662 2072
c49633 26400 -21112
c49631 -25674 -22624
c49630 -51150 10136
c49622 -50160 -10528
c50322 -45474 23240
c49621 14256 -25648
c49698 10428 6608
c49618 -44550 -15568
c49617 42966 61544
c49616 -7854 -23128
c49613 36564 -47824
c49609 -54648 51464
c49608 16038 45920
c49607 -23892 39368
c49605 -11880 -38248
c49604 -37818 20216
c49600 33000 46928
c49598 24882 -14560
c49594 -62172 4592
c49593 50754 -56392
c49592 61314 -11032
c49590 -858 -14056
c49589 -51612 -20104
c49588 -43362 -30184
c49587 -24156 -13048
c49585 48510 60032
c49579 -42768 -50848
c49578 39138 61040
c49577 -15180 -56896
c49576 -25872 50960
c49575 -40854 53984
c49574 54846 18704
c49573 16566 -31696
c49568 5412 -24640
c49565 46266 -54376
c49559 -50358 37856
c49558 -19470 3080
c49556 56430 31808
c49550 2112 29288
c49549 51150 12152
c49548 -1980 58016
c49547 -528 33824
c49545 5940 -41776
c49538 31746 -36736
c49536 -12606 -18088
c49535 -41910 -31696
c49534 14718 23744
c49532 9240 -36232
c49531 -44286 -13048
c49528 28908 1064
c49527 48642 -17584
c49526 44946 26768
c49524 462 56
c49523 -22770 36848
c49522 -9438 -4480
c49519 -528 27776
c49517 24354 -51352
c51280 -6138 -34216
c49512 15642 -38752
c49510 -13530 17696
c49509 14916 -25648
c50050 12540 12656
c49506 -11352 9128
c49504 -37422 16688
c49503 -48114 40880
c49495 21978 37352
c49494 38742 37856
c49492 -26664 -30184
c49491 52008 -30688
c49489 42240 -22624
c49488 -55770 -36736
c49484 38016 8624
c49482 -5742 -14056
c49480 -44682 11144
c49479 29898 61040
c49477 -34848 8120
c49474 39600 40376
c49471 -38874 40880
c49469 -25278 57008
c49468 54450 7112
c49466 -30822 5096
c49465 50094 58016
c49463 30294 13664
c51091 -29964 9128
c49462 -55506 44912
c49458 -53262 16184
c49457 37290 37352
c49456 -5544 9128
c50828 -33528 40376
c49453 24750 44912
c49448 51546 -29176
c49442 31086 -13552
c49441 -13662 -12040
c49434 14916 26768
c49432 38478 14672
c49431 38148 3080
c49428 7590 21728
c49427 36894 32816
c49425 32406 4088
c49422 -52998 -37240
c49416 -17490 -58912
c49415 46464 -1960
c49413 -12144 -31696
c49411 2706 30800
c49407 -22308 32312
c49402 15048 8120
c49401 -55440 -23632
c49399 50094 -31696
c49398 -17028 -33712
c49396 -20262 -26152
c49395 -43560 -3472
c49394 -10824 -32704
c49393 -18942 40376
c49384 7260 -13552
c49380 31416 10640
c49378 47454 -35224
c49377 23166 -35224
c49375 21252 20720
c49373 37818 -53368
c49371 49302 -39256
c49370 -42966 52472
c49369 -29040 21224
c49366 -15774 34832
c49364 -12408 -48328
c49363 -35046 -28168
c50036 -36828 -3976
c49357 -32604 50960
c49356 -40722 -19096
c49354 27324 51464
c50231 38082 20216
c49350 -264 20720
c49348 41118 -1960
c49347 -48774 -37240
c49346 -32670 -36232
c49345 55704 -16072
c49342 -12804 15176
c49337 21912 11144
c49335 -38610 31808
c49328 -19932 -37744
c49327 50226 -53368
c49324 -44814 25760
c49323 396 17696
c49322 -13464 -41776
c49321 58674 31304
c49319 10494 -14056
c49316 -4158 8624
c49315 -53394 -15568
c49314 6006 -7504
c49312 42900 4088
c49311 30756 -26152
c49309 14388 -9520
c49308 -31812 -28168
c49304 52140 32816
c51272 -18744 56
c49302 32472 46424
c49299 50160 -6496
c50083 -26070 -15064
c49297 -6204 -32704
c49296 -42702 -50344
c49290 56892 38864
c49288 43032 -42280
c49287 -16236 10640
c49284 10560 35336
c49280 -49302 -11536
c49278 -48972 -53368
c49277 -22308 48440
c49275 -29172 46928
c49270 -29634 55496
c49268 47982 18704
c49265 20130 13664
c49262 -50820 25760
c49260 33066 -18088
c49258 -6072 35336
c49257 -4818 -16576
c49256 18744 -16072
c49255 25674 33320
c49254 -26070 -4984
c49251 58542 -25648
c49250 -54318 17696
c49248 -7854 35840
c49244 -30558 -49336
c49243 8052 -54880
c49238 -38808 21224
c49237 -58740 -952
c49236 24684 -15568
c49235 -264 -8008
c49225 -6468 -22624
c51356 -6732 -29680
c49224 5610 -48832
c49223 51876 -55888
c49219 45672 -23632
c49217 -11154 35840
c49213 -50754 -21616
c49212 -19932 -21112
c49210 54450 -3472
c49209 -30954 -7504
c49207 -44022 -4984
c49206 -28182 23744
c49205 38148 -30184
c49203 -35838 -42280
c49201 -31218 9632
c49200 56958 -15064
c49195 -12804 11648
c49189 -6798 -1456
c49188 59994 57512
c49184 -14982 25760
c49178 -46398 13664
c49177 -15840 -29176
c49176 -52998 -5488
c49175 27192 14672
c49174 -15510 22232
c49171 11286 -55888
c49170 -55044 -46312
c49166 -19008 49448
c49165 -40524 42896
c49159 -48114 -60928
c49157 60258 -7504
c49152 -55374 1568
c49147 48576 10640
c49144 46134 -20608
c49143 -20592 -30688
c49142 -23298 -26152
c49141 -9702 46928
c49140 -6336 31304
c49137 58938 560
c49136 -15708 36848
c49135 54714 -60928
c49134 38808 52976
c49133 33792 25256
c49131 -13596 52976
c49130 -19404 12152
c49125 -21780 61040
c49124 32472 -48832
c49120 40524 -46312
c49118 58806 -5992
c49117 58146 8624
c49115 3234 22736
c49667 -3300 -29680
c49114 -1518 13664
c50434 -48774 36344
c49113 -36234 50456
c49110 10560 51968
c49109 2112 -37744
c49108 24486 -25144
c49103 40260 40376
c49102 -7788 -29680
c49101 35838 15680
c49100 35046 14672
c49098 -10692 -53368
c49096 -44814 22736
c49094 55770 32312
c49091 -22506 -45304
c49090 21516 -50344
c49088 -4554 4592
c49087 -5346 57008
c49086 57024 29792
c49085 22110 31304
c49081 -20790 -23128
c49080 -13992 -448
c49079 44550 -46816
c49076 15312 -39256
c49073 25806 -26152
c49072 19866 -40264
c49071 13002 16184
c49068 40722 -50848
c49064 396 17192
c49063 -396 19712
c49059 -34980 19712
c49057 -53196 3080
c49056 24156 28280
c49055 35970 -32200
c49049 19866 -15064
c49047 -20064 -33208
c49045 -33594 -2968
c49042 26466 -23632
c49041 12672 19712
c49040 -18150 -23128
c49039 32736 -24640
c49036 -19800 37352
c49033 -2904 -8008
c49032 52800 22736
c49026 -48840 20216
c49023 2706 -14056
c49021 43890 -26656
c49019 -5940 -51352
c49013 -31350 -20608
c49011 24354 18704
c49009 -27258 56504
c49004 16434 48440
c49003 19536 -53368
c48999 30228 -53872
c48998 -46926 -952
c48997 -10164 -40264
c48994 -45606 7616
c48993 -32340 30296
c48991 -35442 -18088
c48987 -59928 -27160
c48983 61710 19712
c48977 29832 39368
c48976 -57816 -448
c48975 -16434 52976
c48970 -44418 32312
c48969 4488 -21616
c48968 35970 -36736
c48966 -8052 -4984
c48965 4950 13664
c48964 26202 6608
c48963 -15774 38360
c48962 -29502 -22624
c48961 -18612 30296
c48960 9570 -6496
c48958 -3762 -60928
c48955 -58608 -25144
c48952 22242 -42784
c48951 8646 29792
c48949 -19932 39368
c48948 33396 26768
c48945 32274 6104
c48944 16632 34328
c48943 32802 35336
c48942 24486 -61936
c51331 2706 -24640
c48941 -10230 -41272
c48939 14520 -20104
c48936 -22044 -49840
c48935 28380 3080
c48933 21384 49952
c48931 47388 19712
c48930 -39336 -28672
c48928 38874 36344
c48927 -14850 46424
c48925 990 8120
c48923 -44022 6608
c48919 43494 -34720
c48918 13200 47432
c48917 23166 6608
c48916 59202 49448
c48911 -11814 31808
c48910 -48840 -38752
c48908 -44352 2576
c48907 44880 30800
c48904 -25410 -55888
c48901 33594 60032
c48893 -62172 -2968
c48891 27060 -30184
c48889 -44814 -15064
c48887 -11748 15176
c48885 20592 -2464
c48884 -7260 -952
c48881 44286 43400
c48880 -45408 26264
c48879 -3234 27272
c48876 -51612 -14560
c48875 59202 56
c48874 -49038 -27664
c48873 -46200 -51352
c48871 -7722 4088
c48870 14454 -36736
c51141 42504 32312
c48868 55770 11144
c48862 53130 -20104
c48861 60390 -8008
c48859 -25014 34328
c48857 -1782 7112
c48848 33264 45920
c48847 -59004 -1960
c48838 34848 3584
c48836 22044 -10528
c48834 -62172 -27160
c48832 18084 -29680
c48831 -15048 49448
c48826 -15246 17696
c48825 22110 42896
c48823 50754 5096
c48821 4554 -51856
c51057 22044 34832
c48818 23562 -9520
c48815 -19800 -7000
c48814 -32340 43904
c48813 -792 33824
c48812 6996 4088
c48810 -49566 25760
c48809 35772 -34216
c48808 66 25760
c48807 54384 -49840
c48804 -49698 -6496
c48799 22176 -28168
c48798 -13662 5600
c48794 -37422 35336
c48793 56562 9128
c48785 57222 55496
c48782 42504 1064
c48780 -26334 21728
c48779 39270 -23128
c48778 7920 -4984
c48775 36630 -4984
c48774 12012 14168
c48773 -24486 26768
c48771 -50754 -24136
c48770 35970 22232
c48768 34782 27776
c48765 6864 40376
c48764 -44814 -22120
c48763 12606 6104
c48758 47256 -4984
c48757 -37158 53984
c48755 59070 -29680
c48754 8118 29792
c48752 27324 14168
c48751 1386 27272
c48750 -5940 13160
c48749 -660 41888
c48747 -42174 -33712
c48746 -42570 -16072
c48745 58410 -18592
c48743 29898 -448
c48741 -29964 -56896
c48739 -15180 -4480
c48738 41646 6104
c48733 -49038 -31192
c48732 -24486 -29176
c48730 -43890 -47320
c48729 13200 18200
c48728 -31680 20720
c48726 37422 -25648
c48725 -58014 2072
c48723 37686 -26656
c49898 57354 -19096
c48722 35640 -47824
c48721 1914 -51856
c48720 -45936 -17080
c48717 9240 41888
c48709 -28050 32816
c48708 57420 39368
c48705 54714 -39256
c48702 42504 60536
c48701 51282 40880
c48698 20790 -48832
c48697 -23958 35840
c48694 -28578 4088
c50592 -27456 23240
c48693 5610 -2464
c48692 20328 -10024
c48687 -15906 19208
c48686 15510 29792
c48673 -6336 57512
c48669 -34716 -7000
c48666 -15576 -57400
c48665 -5610 -19600
